model,split,held_out,n_train,n_test,accuracy,balanced_accuracy,macro_f1,left_recall,right_recall,true_left,left_as_right,right_as_left,true_right
csp_logreg,subject-grouped,S001,399,45,0.5333333333333333,0.5237154150197628,0.4184615384615385,0.9565217391304348,0.09090909090909091,22,1,20,2
bandpower_logreg,subject-grouped,S001,399,45,0.6666666666666666,0.6640316205533596,0.660633484162896,0.782608695652174,0.5454545454545454,18,5,10,12
majority_baseline,subject-grouped,S001,399,45,0.5111111111111111,0.5,0.3382352941176471,1.0,0.0,23,0,22,0
csp_logreg,subject-grouped,S002,399,45,0.8222222222222222,0.8181818181818181,0.8148148148148149,1.0,0.6363636363636364,23,0,8,14
bandpower_logreg,subject-grouped,S002,399,45,0.5777777777777777,0.5741106719367589,0.5639979602243753,0.7391304347826086,0.4090909090909091,17,6,13,9
majority_baseline,subject-grouped,S002,399,45,0.5111111111111111,0.5,0.3382352941176471,1.0,0.0,23,0,22,0
csp_logreg,subject-grouped,S003,399,45,0.4,0.40711462450592883,0.33570256971022416,0.08695652173913043,0.7272727272727273,2,21,6,16
bandpower_logreg,subject-grouped,S003,399,45,0.35555555555555557,0.3557312252964427,0.35555555555555557,0.34782608695652173,0.36363636363636365,8,15,14,8
majority_baseline,subject-grouped,S003,399,45,0.5111111111111111,0.5,0.3382352941176471,1.0,0.0,23,0,22,0
csp_logreg,subject-grouped,S004,399,45,0.4888888888888889,0.5,0.3283582089552239,0.0,1.0,0,23,0,22
bandpower_logreg,subject-grouped,S004,399,45,0.5555555555555556,0.5474308300395256,0.48156682027649766,0.9130434782608695,0.18181818181818182,21,2,18,4
majority_baseline,subject-grouped,S004,399,45,0.5111111111111111,0.5,0.3382352941176471,1.0,0.0,23,0,22,0
csp_logreg,subject-grouped,S005,399,45,0.5333333333333333,0.5,0.34782608695652173,0.0,1.0,0,21,0,24
bandpower_logreg,subject-grouped,S005,399,45,0.5111111111111111,0.48809523809523814,0.42972350230414746,0.14285714285714285,0.8333333333333334,3,18,4,20
majority_baseline,subject-grouped,S005,399,45,0.4666666666666667,0.5,0.3181818181818182,1.0,0.0,21,0,24,0
csp_logreg,subject-grouped,S006,399,45,0.5111111111111111,0.5386904761904762,0.42972350230414746,0.125,0.9523809523809523,3,21,1,20
bandpower_logreg,subject-grouped,S006,399,45,0.4666666666666667,0.4880952380952381,0.41810344827586204,0.16666666666666666,0.8095238095238095,4,20,4,17
majority_baseline,subject-grouped,S006,399,45,0.5333333333333333,0.5,0.34782608695652173,1.0,0.0,24,0,21,0
csp_logreg,subject-grouped,S007,399,45,0.5333333333333333,0.5227272727272727,0.3867618429591174,1.0,0.045454545454545456,23,0,21,1
bandpower_logreg,subject-grouped,S007,399,45,0.6666666666666666,0.6669960474308301,0.6666666666666666,0.6521739130434783,0.6818181818181818,15,8,7,15
majority_baseline,subject-grouped,S007,399,45,0.5111111111111111,0.5,0.3382352941176471,1.0,0.0,23,0,22,0
csp_logreg,subject-grouped,S008,399,45,0.5555555555555556,0.5474308300395256,0.48156682027649766,0.18181818181818182,0.9130434782608695,4,18,2,21
bandpower_logreg,subject-grouped,S008,399,45,0.7111111111111111,0.708498023715415,0.7058823529411764,0.5909090909090909,0.8260869565217391,13,9,4,19
majority_baseline,subject-grouped,S008,399,45,0.4888888888888889,0.5,0.3283582089552239,1.0,0.0,22,0,23,0
csp_logreg,subject-grouped,S009,405,39,0.5128205128205128,0.5039473684210526,0.44075471698113206,0.15789473684210525,0.85,3,16,3,17
bandpower_logreg,subject-grouped,S009,405,39,0.46153846153846156,0.47368421052631576,0.3157894736842105,0.9473684210526315,0.0,18,1,20,0
majority_baseline,subject-grouped,S009,405,39,0.48717948717948717,0.5,0.3275862068965517,1.0,0.0,19,0,20,0
csp_logreg,subject-grouped,S010,399,45,0.5777777777777777,0.5773809523809523,0.5769421078673924,0.5833333333333334,0.5714285714285714,14,10,9,12
bandpower_logreg,subject-grouped,S010,399,45,0.6222222222222222,0.6309523809523809,0.6192135390741662,0.5,0.7619047619047619,12,12,5,16
majority_baseline,subject-grouped,S010,399,45,0.5333333333333333,0.5,0.34782608695652173,1.0,0.0,24,0,21,0
