model,split,held_out,n_train,n_test,accuracy,balanced_accuracy,macro_f1,left_recall,right_recall,true_left,left_as_right,right_as_left,true_right
logreg,expanded-development,S003,2730,45,0.3333333333333333,0.32806324110671936,0.29096638655462187,0.5652173913043478,0.09090909090909091,13,10,20,2
logreg,expanded-development,S008,2730,45,0.6222222222222222,0.6215415019762847,0.6214745175655616,0.5909090909090909,0.6521739130434783,13,9,8,15
logreg,expanded-development,S015,2730,45,0.6444444444444445,0.6521739130434783,0.6,0.30434782608695654,1.0,7,16,0,22
logreg,expanded-development,S017,2730,37,0.4864864864864865,0.49415204678362573,0.44602048857368004,0.7777777777777778,0.21052631578947367,14,4,15,4
logreg,expanded-development,S024,2730,29,0.5172413793103449,0.5,0.3409090909090909,0.0,1.0,0,14,0,15
logreg,expanded-development,S026,2730,45,0.6444444444444445,0.6458333333333333,0.6442687747035574,0.625,0.6666666666666666,15,9,7,14
logreg,expanded-development,S031,2730,45,0.7555555555555555,0.7549407114624507,0.7550717466600693,0.7272727272727273,0.782608695652174,16,6,5,18
logreg,expanded-development,S038,2730,45,0.5555555555555556,0.5494071146245059,0.5150862068965517,0.8260869565217391,0.2727272727272727,19,4,16,6
logreg,expanded-development,S039,2730,42,0.5714285714285714,0.5949656750572082,0.5552941176470588,0.34782608695652173,0.8421052631578947,8,15,3,16
logreg,expanded-development,S050,2730,45,0.4222222222222222,0.4179841897233202,0.39814814814814814,0.6086956521739131,0.22727272727272727,14,9,17,5
logreg,expanded-development,S052,2730,45,0.5777777777777777,0.5833333333333333,0.5769421078673924,0.5,0.6666666666666666,12,12,7,14
logreg,expanded-development,S055,2730,45,0.7777777777777778,0.7747035573122529,0.7722672064777327,0.9130434782608695,0.6363636363636364,21,2,8,14
logreg,expanded-development,S060,2730,42,0.8333333333333334,0.8295454545454546,0.8309373202990225,0.75,0.9090909090909091,15,5,2,20
logreg,expanded-development,S063,2730,45,0.4888888888888889,0.4990118577075099,0.3630769230769231,0.9545454545454546,0.043478260869565216,21,1,22,1
logreg,expanded-development,S076,2730,42,0.5,0.5,0.4470219435736677,0.19047619047619047,0.8095238095238095,4,17,4,17
logreg,expanded-development,S080,2730,45,0.5555555555555556,0.5503952569169961,0.5273109243697479,0.782608695652174,0.3181818181818182,18,5,15,7
lda,expanded-development,S003,2730,45,0.3111111111111111,0.3053359683794466,0.2583732057416268,0.5652173913043478,0.045454545454545456,13,10,21,1
lda,expanded-development,S008,2730,45,0.6444444444444445,0.6442687747035574,0.6442687747035574,0.6363636363636364,0.6521739130434783,14,8,8,15
lda,expanded-development,S015,2730,45,0.6444444444444445,0.6521739130434783,0.6,0.30434782608695654,1.0,7,16,0,22
lda,expanded-development,S017,2730,37,0.4864864864864865,0.49415204678362573,0.44602048857368004,0.7777777777777778,0.21052631578947367,14,4,15,4
lda,expanded-development,S024,2730,29,0.5172413793103449,0.5,0.3409090909090909,0.0,1.0,0,14,0,15
lda,expanded-development,S026,2730,45,0.6444444444444445,0.6458333333333333,0.6442687747035574,0.625,0.6666666666666666,15,9,7,14
lda,expanded-development,S031,2730,45,0.8,0.7994071146245059,0.7996041563582384,0.7727272727272727,0.8260869565217391,17,5,4,19
lda,expanded-development,S038,2730,45,0.5333333333333333,0.5286561264822134,0.509090909090909,0.7391304347826086,0.3181818181818182,17,6,15,7
lda,expanded-development,S039,2730,42,0.5952380952380952,0.6167048054919908,0.583673469387755,0.391304347826087,0.8421052631578947,9,14,3,16
lda,expanded-development,S050,2730,45,0.4222222222222222,0.41897233201581024,0.40789473684210525,0.5652173913043478,0.2727272727272727,13,10,16,6
lda,expanded-development,S052,2730,45,0.5777777777777777,0.5833333333333333,0.5769421078673924,0.5,0.6666666666666666,12,12,7,14
lda,expanded-development,S055,2730,45,0.7555555555555555,0.7519762845849802,0.7475777664456911,0.9130434782608695,0.5909090909090909,21,2,9,13
lda,expanded-development,S060,2730,42,0.8333333333333334,0.8295454545454546,0.8309373202990225,0.75,0.9090909090909091,15,5,2,20
lda,expanded-development,S063,2730,45,0.4888888888888889,0.4990118577075099,0.3630769230769231,0.9545454545454546,0.043478260869565216,21,1,22,1
lda,expanded-development,S076,2730,42,0.4523809523809524,0.4523809523809524,0.4120511259890444,0.19047619047619047,0.7142857142857143,4,17,6,15
lda,expanded-development,S080,2730,45,0.5555555555555556,0.5503952569169961,0.5273109243697479,0.782608695652174,0.3181818181818182,18,5,15,7
pca_8,expanded-development,S003,2730,45,0.4666666666666667,0.46047430830039526,0.41810344827586204,0.7391304347826086,0.18181818181818182,17,6,18,4
pca_8,expanded-development,S008,2730,45,0.4888888888888889,0.5,0.3283582089552239,1.0,0.0,22,0,23,0
pca_8,expanded-development,S015,2730,45,0.5333333333333333,0.5276679841897234,0.49760765550239233,0.782608695652174,0.2727272727272727,18,5,16,6
pca_8,expanded-development,S017,2730,37,0.4864864864864865,0.5,0.32727272727272727,1.0,0.0,18,0,19,0
pca_8,expanded-development,S024,2730,29,0.5172413793103449,0.5,0.3409090909090909,0.0,1.0,0,14,0,15
pca_8,expanded-development,S026,2730,45,0.4888888888888889,0.5148809523809523,0.41492368569813454,0.125,0.9047619047619048,3,21,2,19
pca_8,expanded-development,S031,2730,45,0.6444444444444445,0.650197628458498,0.6218487394957983,0.9090909090909091,0.391304347826087,20,2,14,9
pca_8,expanded-development,S038,2730,45,0.4666666666666667,0.4614624505928854,0.4327731092436975,0.6956521739130435,0.22727272727272727,16,7,17,5
pca_8,expanded-development,S039,2730,42,0.4523809523809524,0.44508009153318073,0.4445083381253594,0.5217391304347826,0.3684210526315789,12,11,12,7
pca_8,expanded-development,S050,2730,45,0.4888888888888889,0.47924901185770746,0.3630769230769231,0.9130434782608695,0.045454545454545456,21,2,21,1
pca_8,expanded-development,S052,2730,45,0.6,0.5833333333333334,0.5635775862068966,0.8333333333333334,0.3333333333333333,20,4,14,7
pca_8,expanded-development,S055,2730,45,0.5111111111111111,0.5217391304347826,0.375,0.043478260869565216,1.0,1,22,0,22
pca_8,expanded-development,S060,2730,42,0.5714285714285714,0.5886363636363636,0.5178571428571429,0.95,0.22727272727272727,19,1,17,5
pca_8,expanded-development,S063,2730,45,0.4888888888888889,0.5,0.3283582089552239,1.0,0.0,22,0,23,0
pca_8,expanded-development,S076,2730,42,0.6428571428571429,0.6428571428571428,0.6426545660805445,0.6190476190476191,0.6666666666666666,13,8,7,14
pca_8,expanded-development,S080,2730,45,0.5111111111111111,0.5118577075098814,0.5108695652173914,0.4782608695652174,0.5454545454545454,11,12,10,12
pca_16,expanded-development,S003,2730,45,0.26666666666666666,0.2638339920948617,0.25339366515837103,0.391304347826087,0.13636363636363635,9,14,19,3
pca_16,expanded-development,S008,2730,45,0.5333333333333333,0.5405138339920948,0.4833242208857299,0.8636363636363636,0.21739130434782608,19,3,18,5
pca_16,expanded-development,S015,2730,45,0.6888888888888889,0.6936758893280632,0.6759259259259259,0.4782608695652174,0.9090909090909091,11,12,2,20
pca_16,expanded-development,S017,2730,37,0.4864864864864865,0.47953216374269003,0.44602048857368004,0.2222222222222222,0.7368421052631579,4,14,5,14
