model,split,held_out,n_train,n_test,accuracy,balanced_accuracy,macro_f1,left_recall,right_recall,true_left,left_as_right,right_as_left,true_right
bandpower_logreg,heldout-subjects,S011,444,45,0.5555555555555556,0.5533596837944664,0.55,0.6521739130434783,0.45454545454545453,15,8,12,10
bandpower_logreg,heldout-subjects,S012,444,45,0.5555555555555556,0.5386904761904762,0.5150862068965517,0.2857142857142857,0.7916666666666666,6,15,5,19
bandpower_logreg,heldout-subjects,S013,444,20,0.55,0.55,0.5488721804511278,0.5,0.6,5,5,4,6
bandpower_logreg,heldout-subjects,S014,444,45,0.5111111111111111,0.5039525691699605,0.44999999999999996,0.18181818181818182,0.8260869565217391,4,18,4,19
bandpower_logreg,heldout-subjects,S015,444,45,0.5555555555555556,0.5494071146245059,0.5150862068965517,0.8260869565217391,0.2727272727272727,19,4,16,6
bandpower_logreg,heldout-subjects,S016,444,45,0.5333333333333333,0.5247035573122529,0.4444444444444444,0.13636363636363635,0.9130434782608695,3,19,2,21
bandpower_logreg,heldout-subjects,S017,444,37,0.5675675675675675,0.5555555555555556,0.45185185185185184,0.1111111111111111,1.0,2,16,0,19
bandpower_logreg,heldout-subjects,S018,444,45,0.4666666666666667,0.4654150197628458,0.4642857142857143,0.4090909090909091,0.5217391304347826,9,13,11,12
bandpower_logreg,heldout-subjects,S019,444,39,0.46153846153846156,0.5,0.3157894736842105,0.0,1.0,0,21,0,18
bandpower_logreg,heldout-subjects,S020,444,45,0.5555555555555556,0.5533596837944664,0.55,0.6521739130434783,0.45454545454545453,15,8,12,10
bandpower_logreg,heldout-subjects,S021,444,25,0.44,0.4583333333333333,0.3055555555555556,0.0,0.9166666666666666,0,13,1,11
bandpower_logreg,heldout-subjects,S022,444,43,0.5581395348837209,0.5541125541125541,0.542296918767507,0.38095238095238093,0.7272727272727273,8,13,6,16
bandpower_logreg,heldout-subjects,S023,444,43,0.5116279069767442,0.4880434782608696,0.4331450094161958,0.15,0.8260869565217391,3,17,4,19
bandpower_logreg,heldout-subjects,S024,444,29,0.4482758620689655,0.4357142857142857,0.3555555555555555,0.07142857142857142,0.8,1,13,3,12
bandpower_logreg,heldout-subjects,S025,444,45,0.5111111111111111,0.5049407114624506,0.4665948275862069,0.22727272727272727,0.782608695652174,5,17,5,18
bandpower_logreg,heldout-subjects,S026,444,45,0.6,0.625,0.55,0.25,1.0,6,18,0,21
bandpower_logreg,heldout-subjects,S027,444,45,0.4666666666666667,0.46837944664031617,0.4642857142857143,0.391304347826087,0.5454545454545454,9,14,10,12
bandpower_logreg,heldout-subjects,S028,444,45,0.4888888888888889,0.47924901185770746,0.3630769230769231,0.045454545454545456,0.9130434782608695,1,21,2,21
bandpower_logreg,heldout-subjects,S029,444,45,0.6222222222222222,0.6294466403162056,0.5817386550027337,0.30434782608695654,0.9545454545454546,7,16,1,21
bandpower_logreg,heldout-subjects,S030,444,45,0.4666666666666667,0.49107142857142855,0.4,0.125,0.8571428571428571,3,21,3,18
csp_logreg,heldout-subjects,S011,444,45,0.5333333333333333,0.5326086956521738,0.5324096981692232,0.5652173913043478,0.5,13,10,11,11
csp_logreg,heldout-subjects,S012,444,45,0.4666666666666667,0.5,0.3181818181818182,1.0,0.0,21,0,24,0
csp_logreg,heldout-subjects,S013,444,20,0.55,0.55,0.4357366771159875,1.0,0.1,10,0,9,1
