model,split,held_out,n_train,n_test,accuracy,balanced_accuracy,macro_f1,left_recall,right_recall,true_left,left_as_right,right_as_left,true_right
bandpower_logreg,run-grouped,R04,295,149,0.5906040268456376,0.5851658255227109,0.5552674071536918,0.8552631578947368,0.3150684931506849,65,11,50,23
bandpower_lda,run-grouped,R04,295,149,0.5906040268456376,0.5851658255227109,0.5552674071536918,0.8552631578947368,0.3150684931506849,65,11,50,23
csp_logreg,run-grouped,R04,295,149,0.5033557046979866,0.5034246575342466,0.5033333333333334,0.5,0.5068493150684932,38,38,36,37
csp_lda,run-grouped,R04,295,149,0.5302013422818792,0.530281182408075,0.5301801801801802,0.5263157894736842,0.5342465753424658,40,36,34,39
bandpower_logreg,run-grouped,R08,298,146,0.5753424657534246,0.5753424657534246,0.5724541847723408,0.4931506849315068,0.6575342465753424,36,37,25,48
bandpower_lda,run-grouped,R08,298,146,0.5616438356164384,0.5616438356164384,0.5595776772247361,0.4931506849315068,0.6301369863013698,36,37,27,46
csp_logreg,run-grouped,R08,298,146,0.5958904109589042,0.595890410958904,0.594348952201554,0.5342465753424658,0.6575342465753424,39,34,25,48
csp_lda,run-grouped,R08,298,146,0.6027397260273972,0.6027397260273972,0.6024413145539906,0.5753424657534246,0.6301369863013698,42,31,27,46
bandpower_logreg,run-grouped,R12,295,149,0.6644295302013423,0.6642934390771449,0.6642934390771449,0.6710526315789473,0.6575342465753424,51,25,25,48
bandpower_lda,run-grouped,R12,295,149,0.6577181208053692,0.657984859408796,0.6577181208053692,0.6447368421052632,0.6712328767123288,49,27,24,49
csp_logreg,run-grouped,R12,295,149,0.5436241610738255,0.5428983417447729,0.5426146623329722,0.5789473684210527,0.5068493150684932,44,32,36,37
csp_lda,run-grouped,R12,295,149,0.5436241610738255,0.5428983417447729,0.5426146623329722,0.5789473684210527,0.5068493150684932,44,32,36,37
