model,split,held_out,n_train,n_test,accuracy,balanced_accuracy,macro_f1,left_recall,right_recall,true_left,left_as_right,right_as_left,true_right
bandpower_logreg,subject-grouped,S001,399,45,0.6666666666666666,0.6640316205533596,0.660633484162896,0.782608695652174,0.5454545454545454,18,5,10,12
bandpower_lda,subject-grouped,S001,399,45,0.6888888888888889,0.6857707509881423,0.6811740890688258,0.8260869565217391,0.5454545454545454,19,4,10,12
csp_logreg,subject-grouped,S001,399,45,0.5333333333333333,0.5237154150197628,0.4184615384615385,0.9565217391304348,0.09090909090909091,22,1,20,2
csp_lda,subject-grouped,S001,399,45,0.5333333333333333,0.5237154150197628,0.4184615384615385,0.9565217391304348,0.09090909090909091,22,1,20,2
bandpower_logreg,subject-grouped,S002,399,45,0.5777777777777777,0.5741106719367589,0.5639979602243753,0.7391304347826086,0.4090909090909091,17,6,13,9
bandpower_lda,subject-grouped,S002,399,45,0.5777777777777777,0.5741106719367589,0.5639979602243753,0.7391304347826086,0.4090909090909091,17,6,13,9
csp_logreg,subject-grouped,S002,399,45,0.8222222222222222,0.8181818181818181,0.8148148148148149,1.0,0.6363636363636364,23,0,8,14
csp_lda,subject-grouped,S002,399,45,0.8,0.7954545454545454,0.7896103896103897,1.0,0.5909090909090909,23,0,9,13
bandpower_logreg,subject-grouped,S003,399,45,0.35555555555555557,0.3557312252964427,0.35555555555555557,0.34782608695652173,0.36363636363636365,8,15,14,8
bandpower_lda,subject-grouped,S003,399,45,0.37777777777777777,0.37845849802371545,0.37747035573122534,0.34782608695652173,0.4090909090909091,8,15,13,9
csp_logreg,subject-grouped,S003,399,45,0.4,0.40711462450592883,0.33570256971022416,0.08695652173913043,0.7272727272727273,2,21,6,16
csp_lda,subject-grouped,S003,399,45,0.4444444444444444,0.4505928853754941,0.4019138755980861,0.17391304347826086,0.7272727272727273,4,19,6,16
bandpower_logreg,subject-grouped,S004,399,45,0.5555555555555556,0.5474308300395256,0.48156682027649766,0.9130434782608695,0.18181818181818182,21,2,18,4
bandpower_lda,subject-grouped,S004,399,45,0.6,0.592885375494071,0.55,0.9130434782608695,0.2727272727272727,21,2,16,6
csp_logreg,subject-grouped,S004,399,45,0.4888888888888889,0.5,0.3283582089552239,0.0,1.0,0,23,0,22
csp_lda,subject-grouped,S004,399,45,0.4888888888888889,0.5,0.3283582089552239,0.0,1.0,0,23,0,22
bandpower_logreg,subject-grouped,S005,399,45,0.5111111111111111,0.48809523809523814,0.42972350230414746,0.14285714285714285,0.8333333333333334,3,18,4,20
bandpower_lda,subject-grouped,S005,399,45,0.5111111111111111,0.49107142857142855,0.44999999999999996,0.19047619047619047,0.7916666666666666,4,17,5,19
csp_logreg,subject-grouped,S005,399,45,0.5333333333333333,0.5,0.34782608695652173,0.0,1.0,0,21,0,24
csp_lda,subject-grouped,S005,399,45,0.5333333333333333,0.5,0.34782608695652173,0.0,1.0,0,21,0,24
bandpower_logreg,subject-grouped,S006,399,45,0.4666666666666667,0.4880952380952381,0.41810344827586204,0.16666666666666666,0.8095238095238095,4,20,4,17
bandpower_lda,subject-grouped,S006,399,45,0.4444444444444444,0.46428571428571425,0.4019138755980861,0.16666666666666666,0.7619047619047619,4,20,5,16
csp_logreg,subject-grouped,S006,399,45,0.5111111111111111,0.5386904761904762,0.42972350230414746,0.125,0.9523809523809523,3,21,1,20
csp_lda,subject-grouped,S006,399,45,0.4888888888888889,0.5178571428571428,0.3915343915343915,0.08333333333333333,0.9523809523809523,2,22,1,20
bandpower_logreg,subject-grouped,S007,399,45,0.6666666666666666,0.6669960474308301,0.6666666666666666,0.6521739130434783,0.6818181818181818,15,8,7,15
bandpower_lda,subject-grouped,S007,399,45,0.6888888888888889,0.6897233201581028,0.6887351778656126,0.6521739130434783,0.7272727272727273,15,8,6,16
csp_logreg,subject-grouped,S007,399,45,0.5333333333333333,0.5227272727272727,0.3867618429591174,1.0,0.045454545454545456,23,0,21,1
csp_lda,subject-grouped,S007,399,45,0.5111111111111111,0.5009881422924901,0.375,0.9565217391304348,0.045454545454545456,22,1,21,1
bandpower_logreg,subject-grouped,S008,399,45,0.7111111111111111,0.708498023715415,0.7058823529411764,0.5909090909090909,0.8260869565217391,13,9,4,19
bandpower_lda,subject-grouped,S008,399,45,0.7111111111111111,0.708498023715415,0.7058823529411764,0.5909090909090909,0.8260869565217391,13,9,4,19
csp_logreg,subject-grouped,S008,399,45,0.5555555555555556,0.5474308300395256,0.48156682027649766,0.18181818181818182,0.9130434782608695,4,18,2,21
csp_lda,subject-grouped,S008,399,45,0.5555555555555556,0.5474308300395256,0.48156682027649766,0.18181818181818182,0.9130434782608695,4,18,2,21
bandpower_logreg,subject-grouped,S009,405,39,0.46153846153846156,0.47368421052631576,0.3157894736842105,0.9473684210526315,0.0,18,1,20,0
bandpower_lda,subject-grouped,S009,405,39,0.4358974358974359,0.4473684210526316,0.30357142857142855,0.8947368421052632,0.0,17,2,20,0
csp_logreg,subject-grouped,S009,405,39,0.5128205128205128,0.5039473684210526,0.44075471698113206,0.15789473684210525,0.85,3,16,3,17
csp_lda,subject-grouped,S009,405,39,0.5128205128205128,0.5039473684210526,0.44075471698113206,0.15789473684210525,0.85,3,16,3,17
bandpower_logreg,subject-grouped,S010,399,45,0.6222222222222222,0.6309523809523809,0.6192135390741662,0.5,0.7619047619047619,12,12,5,16
bandpower_lda,subject-grouped,S010,399,45,0.6222222222222222,0.6309523809523809,0.6192135390741662,0.5,0.7619047619047619,12,12,5,16
csp_logreg,subject-grouped,S010,399,45,0.5777777777777777,0.5773809523809523,0.5769421078673924,0.5833333333333334,0.5714285714285714,14,10,9,12
csp_lda,subject-grouped,S010,399,45,0.5777777777777777,0.5773809523809523,0.5769421078673924,0.5833333333333334,0.5714285714285714,14,10,9,12
