model,split,held_out,n_train,n_test,accuracy,balanced_accuracy,macro_f1,left_recall,right_recall,true_left,left_as_right,right_as_left,true_right
no_pca,subject-grouped,S001,399,45,0.6888888888888889,0.6857707509881423,0.6811740890688258,0.8260869565217391,0.5454545454545454,19,4,10,12
pca_8,subject-grouped,S001,399,45,0.5333333333333333,0.5237154150197628,0.4184615384615385,0.9565217391304348,0.09090909090909091,22,1,20,2
pca_16,subject-grouped,S001,399,45,0.5555555555555556,0.5474308300395256,0.48156682027649766,0.9130434782608695,0.18181818181818182,21,2,18,4
pca_32,subject-grouped,S001,399,45,0.5555555555555556,0.5503952569169961,0.5273109243697479,0.782608695652174,0.3181818181818182,18,5,15,7
pca_64,subject-grouped,S001,399,45,0.6,0.592885375494071,0.55,0.9130434782608695,0.2727272727272727,21,2,16,6
no_pca,subject-grouped,S002,399,45,0.5777777777777777,0.5741106719367589,0.5639979602243753,0.7391304347826086,0.4090909090909091,17,6,13,9
pca_8,subject-grouped,S002,399,45,0.5333333333333333,0.5276679841897234,0.49760765550239233,0.782608695652174,0.2727272727272727,18,5,16,6
pca_16,subject-grouped,S002,399,45,0.5333333333333333,0.5247035573122529,0.4444444444444444,0.9130434782608695,0.13636363636363635,21,2,19,3
pca_32,subject-grouped,S002,399,45,0.6,0.599802371541502,0.599802371541502,0.6086956521739131,0.5909090909090909,14,9,9,13
pca_64,subject-grouped,S002,399,45,0.5777777777777777,0.5760869565217391,0.5744151319064211,0.6521739130434783,0.5,15,8,11,11
no_pca,subject-grouped,S003,399,45,0.37777777777777777,0.37845849802371545,0.37747035573122534,0.34782608695652173,0.4090909090909091,8,15,13,9
pca_8,subject-grouped,S003,399,45,0.5777777777777777,0.5731225296442688,0.5558441558441558,0.782608695652174,0.36363636363636365,18,5,14,8
pca_16,subject-grouped,S003,399,45,0.35555555555555557,0.3547430830039526,0.3542800593765463,0.391304347826087,0.3181818181818182,9,14,15,7
pca_32,subject-grouped,S003,399,45,0.4444444444444444,0.4486166007905138,0.4263131055583886,0.2608695652173913,0.6363636363636364,6,17,8,14
pca_64,subject-grouped,S003,399,45,0.4444444444444444,0.44762845849802374,0.4343891402714932,0.30434782608695654,0.5909090909090909,7,16,9,13
no_pca,subject-grouped,S004,399,45,0.6,0.592885375494071,0.55,0.9130434782608695,0.2727272727272727,21,2,16,6
