model,split,held_out,n_train,n_test,accuracy,balanced_accuracy,macro_f1,left_recall,right_recall,true_left,left_as_right,right_as_left,true_right
no_pca,followup-heldout,S011,444,45,0.5555555555555556,0.5533596837944664,0.55,0.6521739130434783,0.45454545454545453,15,8,12,10
no_pca,followup-heldout,S012,444,45,0.5777777777777777,0.5625,0.5454545454545454,0.3333333333333333,0.7916666666666666,7,14,5,19
no_pca,followup-heldout,S013,444,20,0.55,0.55,0.5488721804511278,0.5,0.6,5,5,4,6
no_pca,followup-heldout,S014,444,45,0.5111111111111111,0.5039525691699605,0.44999999999999996,0.18181818181818182,0.8260869565217391,4,18,4,19
no_pca,followup-heldout,S015,444,45,0.5777777777777777,0.5721343873517787,0.5454545454545454,0.8260869565217391,0.3181818181818182,19,4,15,7
no_pca,followup-heldout,S016,444,45,0.5333333333333333,0.525691699604743,0.465799886941775,0.18181818181818182,0.8695652173913043,4,18,3,20
no_pca,followup-heldout,S017,444,37,0.5675675675675675,0.5555555555555556,0.45185185185185184,0.1111111111111111,1.0,2,16,0,19
no_pca,followup-heldout,S018,444,45,0.4666666666666667,0.46739130434782605,0.46640316205533594,0.5,0.43478260869565216,11,11,13,10
no_pca,followup-heldout,S019,444,39,0.46153846153846156,0.5,0.3157894736842105,0.0,1.0,0,21,0,18
no_pca,followup-heldout,S020,444,45,0.5555555555555556,0.5533596837944664,0.55,0.6521739130434783,0.45454545454545453,15,8,12,10
no_pca,followup-heldout,S021,444,25,0.44,0.4583333333333333,0.3055555555555556,0.0,0.9166666666666666,0,13,1,11
no_pca,followup-heldout,S022,444,43,0.5813953488372093,0.577922077922078,0.5700000000000001,0.42857142857142855,0.7272727272727273,9,12,6,16
no_pca,followup-heldout,S023,444,43,0.5348837209302325,0.5130434782608696,0.47044334975369456,0.2,0.8260869565217391,4,16,4,19
no_pca,followup-heldout,S024,444,29,0.5517241379310345,0.5452380952380952,0.5316770186335403,0.35714285714285715,0.7333333333333333,5,9,4,11
no_pca,followup-heldout,S025,444,45,0.5777777777777777,0.5731225296442688,0.5558441558441558,0.36363636363636365,0.782608695652174,8,14,5,18
no_pca,followup-heldout,S026,444,45,0.6,0.625,0.55,0.25,1.0,6,18,0,21
no_pca,followup-heldout,S027,444,45,0.4888888888888889,0.491106719367589,0.48481831757093086,0.391304347826087,0.5909090909090909,9,14,9,13
no_pca,followup-heldout,S028,444,45,0.4888888888888889,0.47924901185770746,0.3630769230769231,0.045454545454545456,0.9130434782608695,1,21,2,21
no_pca,followup-heldout,S029,444,45,0.6444444444444445,0.6511857707509882,0.6120689655172413,0.34782608695652173,0.9545454545454546,8,15,1,21
no_pca,followup-heldout,S030,444,45,0.4666666666666667,0.49107142857142855,0.4,0.125,0.8571428571428571,3,21,3,18
pca_32,followup-heldout,S011,444,45,0.4666666666666667,0.46936758893280633,0.46,0.34782608695652173,0.5909090909090909,8,15,9,13
pca_32,followup-heldout,S012,444,45,0.5111111111111111,0.5357142857142857,0.44999999999999996,0.9047619047619048,0.16666666666666666,19,2,20,4
pca_32,followup-heldout,S013,444,20,0.5,0.5,0.40476190476190477,0.9,0.1,9,1,9,1
pca_32,followup-heldout,S014,444,45,0.4444444444444444,0.4426877470355731,0.44001991040318567,0.36363636363636365,0.5217391304347826,8,14,11,12
pca_32,followup-heldout,S015,444,45,0.6666666666666666,0.6590909090909091,0.6184284906726965,1.0,0.3181818181818182,23,0,15,7
pca_32,followup-heldout,S016,444,45,0.5777777777777777,0.5800395256916996,0.5744151319064211,0.6818181818181818,0.4782608695652174,15,7,12,11
pca_32,followup-heldout,S017,444,37,0.5405405405405406,0.5365497076023392,0.5281320330082521,0.3888888888888889,0.6842105263157895,7,11,6,13
pca_32,followup-heldout,S018,444,45,0.5555555555555556,0.5573122529644269,0.5535714285714286,0.6363636363636364,0.4782608695652174,14,8,12,11
pca_32,followup-heldout,S019,444,39,0.5641025641025641,0.5952380952380952,0.4996226415094339,0.19047619047619047,1.0,4,17,0,18
pca_32,followup-heldout,S020,444,45,0.5555555555555556,0.5563241106719368,0.5553359683794465,0.5217391304347826,0.5909090909090909,12,11,9,13
pca_32,followup-heldout,S021,444,25,0.68,0.6698717948717949,0.6527777777777778,0.9230769230769231,0.4166666666666667,12,1,7,5
pca_32,followup-heldout,S022,444,43,0.4883720930232558,0.49891774891774887,0.364247311827957,0.9523809523809523,0.045454545454545456,20,1,21,1
pca_32,followup-heldout,S023,444,43,0.5581395348837209,0.5543478260869565,0.5542825968357883,0.5,0.6086956521739131,10,10,9,14
pca_32,followup-heldout,S024,444,29,0.5172413793103449,0.5261904761904762,0.4873737373737374,0.7857142857142857,0.26666666666666666,11,3,11,4
pca_32,followup-heldout,S025,444,45,0.6,0.6007905138339921,0.599802371541502,0.6363636363636364,0.5652173913043478,14,8,10,13
pca_32,followup-heldout,S026,444,45,0.6666666666666666,0.6547619047619048,0.6493506493506493,0.8333333333333334,0.47619047619047616,20,4,11,10
pca_32,followup-heldout,S027,444,45,0.5555555555555556,0.5602766798418972,0.537037037037037,0.34782608695652173,0.7727272727272727,8,15,5,17
pca_32,followup-heldout,S028,444,45,0.4666666666666667,0.4624505928853755,0.4444444444444444,0.2727272727272727,0.6521739130434783,6,16,8,15
pca_32,followup-heldout,S029,444,45,0.7111111111111111,0.7114624505928854,0.7111111111111111,0.6956521739130435,0.7272727272727273,16,7,6,16
pca_32,followup-heldout,S030,444,45,0.4444444444444444,0.46726190476190477,0.3849097867687261,0.125,0.8095238095238095,3,21,4,17
